id;name;expected_date_of_completion;funding_amount_desired;status;date_created;date_updated
1;Serbian Dinar Svalbard & Jan Mayen Islands SMS;2020-01-15T02:04:02;10534;TRAIN;2020-01-14T23:06:15;2020-01-14T09:13:04
2;Granite reintermediate;2020-01-15T02:46:30;41695;INQUIRY;2020-01-14T18:25:49;2020-01-14T20:12:08
3;blue Green Movies;2020-01-14T19:25:03;81915;GOLIVE;2020-01-15T04:20:35;2020-01-14T07:59:32
4;Soft eco-centric;2020-01-15T04:18:55;3902;FUNDPROCESSING;2020-01-14T12:34:33;2020-01-15T02:31:51
5;Small Steel Chips;2020-01-15T03:19:28;32603;COMMIT;2020-01-14T18:55:49;2020-01-14T07:23:36
6;Forward Chips;2020-01-14T23:38:38;79911;CLOSED;2020-01-14T09:52:43;2020-01-15T04:04:10
7;Specialist bleeding-edge port;2020-01-14T22:54:50;88181;FUNDPROCESSING;2020-01-15T01:59:20;2020-01-14T14:03:02
8;Assimilated;2020-01-15T03:19:39;44622;GOLIVE;2020-01-14T18:38:02;2020-01-14T12:13:30
9;neural-net mindshare Analyst;2020-01-14T07:16:58;22484;ABANDONED;2020-01-14T23:38:32;2020-01-14T15:28:01
10;groupware calculating;2020-01-14T18:40:36;69316;FUNDPROCESSING;2020-01-14T06:49:09;2020-01-14T09:07:25
